Source,Type,Target,Weight
Young Thug,Undirected,Rich Homie Quan,144
Snoop Dogg & Wiz Khalifa,Undirected,Snoop Dogg,129
Termanology & Statik Selektah,Undirected,Termanology,122
Juicy J & Lex Luger,Undirected,Juicy J,115
Curren$y & Young Roddy,Undirected,Curren$y,113
Lil Wayne,Undirected,Mack Maine,96
Alley Boy,Undirected,Gucci Mane,84
Kanye West & Jay-Z,Undirected,Kanye West,82
Juicy J,Undirected,Wiz Khalifa,70
Birdman,Undirected,Lil Wayne,68
Ab-Soul,Undirected,Black Hippy,64
Peewee Longway,Undirected,Young Dolph,59
Peewee Longway,Undirected,Gucci Mane,56
Young Roddy,Undirected,Curren$y,54
Krayzie Bone,Undirected,Layzie Bone,52
Method Man,Undirected,Redman,51
Jaden Smith,Undirected,Justin Bieber,51
Doughboyz Cashout,Undirected,Jeezy,48
Bobby Creekwater,Undirected,Stat Quo,47
Slim Thug,Undirected,Paul Wall,46
Jay Rock,Undirected,Black Hippy,46
Lil Scrappy,Undirected,DJ Drama,42
Ghostface Killah,Undirected,Raekwon,42
Bun B,Undirected,DJ Drama,42
Lil Jon,Undirected,Lil Scrappy,42
The Game,Undirected,Ab-Soul,41
Young Scooter,Undirected,Gucci Mane,41
Lil Jon,Undirected,DJ Drama,41
Bad Lucc,Undirected,Problem,41
Daz Dillinger,Undirected,Kurupt,41
Brick Squad,Undirected,Gucci Mane,41
DJ Whoo Kid,Undirected,50 Cent,41
Wooh Da Kid,Undirected,YG Hootie,40
Young Roddy,Undirected,Trademark Da Skydiver,40
Statik Selektah,Undirected,Kirk Knight,40
Young Dolph,Undirected,Gucci Mane,40
Masspike Miles,Undirected,DJ Drama,40
Ty Dolla $ign,Undirected,Wiz Khalifa,40
Jay Rock,Undirected,The Game,40
Action Bronson,Undirected,Statik Selektah,40
Jon Connor,Undirected,Chris Webby,40
Waka Flocka & Slim Dunkin,Undirected,Gucci Mane,39
Waka Flocka,Undirected,Gucci Mane,39
Uncle Murda,Undirected,Maino,38
Guerilla Black,Undirected,Trae Tha Truth,38
YG Hootie,Undirected,Slim Dunkin,38
The Game,Undirected,Bobby Shmurda,36
Vado,Undirected,Gucci Mane,36
Termanology,Undirected,Reks,35
Ransom,Undirected,Statik Selektah,35
Takeoff,Undirected,Gucci Mane,34
Snoop Dogg,Undirected,Daz Dillinger,34
Juicy J,Undirected,Ty Dolla $ign,34
Juicy J & Lex Luger,Undirected,Wiz Khalifa,34
Rich Boy,Undirected,Gucci Mane,34
Lil Wayne,Undirected,Juelz Santana,34
Hustle Gang,Undirected,T.I.,33
Shawty Lo,Undirected,DJ Drama,33
Chevy Woods,Undirected,Wiz Khalifa,32
Earl Sweatshirt,Undirected,Mac Miller,32
Jetpack Jones,Undirected,Cliff Savage,32
Mannie Fresh,Undirected,Gucci Mane,31
Chinx,Undirected,French Montana,30
Bow Wow,Undirected,Omarion,30
Black Hippy,Undirected,Kendrick Lamar,30
Jay Electronica,Undirected,Black Hippy,30
Bobby Creekwater,Undirected,Eminem,30
Jeezy,Undirected,T.I.,30
Andre 3000,Undirected,Future,29
Lil Reese,Undirected,Fredo Santana,29
Gucci Mane,Undirected,Chief Keef,29
Hot Dollar,Undirected,Gucci Mane,29
Kevin Cossom,Undirected,Pusha T,29
Chris Brown & Tyga,Undirected,Chris Brown,28
Project Pat,Undirected,Three 6 Mafia,28
9th Wonder,Undirected,Talib Kweli,28
Zaytoven,Undirected,Gucci Mane,27
Jay Rock,Undirected,Ab-Soul,27
Wu-Tang Clan,Undirected,RZA,27
Jadakiss,Undirected,Sheek Louch,27
Jeezy,Undirected,Fabolous,27
2 Chainz,Undirected,Kreayshawn,27
Jay Electronica,Undirected,Ab-Soul,27
Young Thug,Undirected,Migos,26
Doughboyz Cashout,Undirected,Jon Connor,26
Slim Thug,Undirected,Killa Kyleon,26
Blood Money,Undirected,Fredo Santana,26
Black Hippy,Undirected,Boaz,26
Jay Rock,Undirected,Jay Electronica,25
Slim Dunkin,Undirected,Roscoe Dash,25
Chevy Woods,Undirected,Tuki Carter,25
Q-Tip,Undirected,Busta Rhymes,25
Dipset,Undirected,Juelz Santana,25
Raekwon,Undirected,Method Man,25
Wu-Tang Clan,Undirected,Raekwon,25
Wooh Da Kid,Undirected,Slim Dunkin,25
Shanell,Undirected,Gucci Mane,25
Diddy,Undirected,The Notorious B.I.G.,25
Black Hippy,Undirected,Strong Arm Steady,25
Wiz Khalifa,Undirected,Tuki Carter,25
Gucci Mane,Undirected,Yo Gotti,24
Nacho Picasso,Undirected,Blue Sky Black Death,24
Phife Dawg,Undirected,Slum Village,24
Gucci Mane & Future,Undirected,Rocko,24
Gucci Mane & Young Thug,Undirected,Rocko,24
Deniro Farrar,Undirected,Shady Blaze,24
Ab-Soul,Undirected,Statik Selektah,24
Murs,Undirected,Fashawn,24
Gucci Mane & Waka Flocka,Undirected,Rocko,24
Slum Village,Undirected,De La Soul,23
