ID,Label
Zaytoven,Zaytoven
Yung Joc,Yung Joc
Yung Berg,Yung Berg
YS,YS
Young Thug,Young Thug
Young Scooter,Young Scooter
Young Sam,Young Sam
Young Roddy,Young Roddy
Young Money,Young Money
Young Dro,Young Dro
Young Dolph,Young Dolph
Young Cypher,Young Cypher
Young Chris,Young Chris
Young Chop,Young Chop
Young Ca$h,Young Ca$h
Young Buck,Young Buck
Yo Gotti,Yo Gotti
Ying Yang Twins,Ying Yang Twins
YG Hootie,YG Hootie
YG,YG
Yelawolf,Yelawolf
Yasiin Bey (Mos Def),Yasiin Bey (Mos Def)
Ya Boy,Ya Boy
Xzibit,Xzibit
XV,XV
Wyclef Jean,Wyclef Jean
Wu-Tang Clan,Wu-Tang Clan
Wooh Da Kid,Wooh Da Kid
Wiz Khalifa,Wiz Khalifa
Willie The Kid,Willie The Kid
will.i.am,will.i.am
Warren G,Warren G
Wale,Wale
Waka Flocka & Slim Dunkin,Waka Flocka & Slim Dunkin
Waka Flocka,Waka Flocka
Vybz Kartel,Vybz Kartel
Vic Mensa,Vic Mensa
Verse Simmonds,Verse Simmonds
Vado,Vado
Usher,Usher
Uncle Murda,Uncle Murda
UGK,UGK
Tyrese,Tyrese
"Tyler, The Creator","Tyler, The Creator"
Tyga,Tyga
Ty Dolla $ign,Ty Dolla $ign
Twista,Twista
Turk,Turk
Tuki Carter,Tuki Carter
Tsu Surf,Tsu Surf
Troy Ave,Troy Ave
Trinidad James,Trinidad James
Trina,Trina
Trick Daddy,Trick Daddy
Trey Songz,Trey Songz
Trevor The Trashman,Trevor The Trashman
Tree,Tree
Travis Porter,Travis Porter
Travis Davon,Travis Davon
Travis Barker,Travis Barker
Travi$ Scott,Travi$ Scott
Trae Tha Truth,Trae Tha Truth
Trademark Da Skydiver,Trademark Da Skydiver
T-Pain,T-Pain
Tory Lanez,Tory Lanez
Torch,Torch
Too Short,Too Short
Tony Yayo,Tony Yayo
Tink,Tink
Tinie Tempah,Tinie Tempah
Tinashe,Tinashe
Timbaland,Timbaland
Three 6 Mafia,Three 6 Mafia
The Weeknd,The Weeknd
The Underachievers,The Underachievers
The Roots,The Roots
The Ranger$,The Ranger$
